step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
800,2.410360,2.297999,0.346313,0.351331,0.000118,1075.1,102400,0.9857,12912.1221,12.1838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.2937,45.3808,0.00,0.00
810,2.357328,2.239769,0.369507,0.375139,0.000107,1091.8,103680,0.9850,12876.6758,12.1785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9159,45.0163,0.00,0.00
820,2.437662,2.312818,0.353760,0.359509,0.000097,1103.0,104960,0.9840,12713.0654,12.1407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.8025,45.6656,0.00,0.00
830,2.377105,2.257834,0.359497,0.365068,0.000086,1114.1,106240,0.9847,12755.1543,12.1493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7275,45.3912,0.00,0.00
840,2.401724,2.251580,0.368286,0.375436,0.000077,1125.2,107520,0.9810,12745.8672,12.1327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5782,45.2956,0.00,0.00
850,2.336008,2.239333,0.368286,0.372883,0.000068,1136.6,108800,0.9877,12696.7021,12.1165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.3585,45.1454,0.00,0.00
860,2.412330,2.284079,0.356812,0.362745,0.000059,1147.6,110080,0.9836,12655.5742,12.1036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5756,45.5339,0.00,0.00
870,2.338012,2.254301,0.353516,0.357310,0.000051,1158.8,111360,0.9894,12619.4814,12.0936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.8457,45.9460,0.00,0.00
880,2.360651,2.273584,0.357300,0.361313,0.000044,1170.0,112640,0.9889,12494.6396,12.0539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.1022,45.7361,0.00,0.00
890,2.367291,2.264328,0.361328,0.366110,0.000037,1181.9,113920,0.9869,12322.5293,11.9795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.8506,46.5005,0.00,0.00
900,2.418054,2.286133,0.352417,0.358455,0.000031,1193.5,115200,0.9832,12374.3125,12.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.8378,46.2628,0.00,0.00
